XPOS	person	number	tense	mood	voice	gender	case	degree
GAP	_	_	_	_	_	_	_	_
PUNCT	_	_	_	_	_	_	_	_
adjective	_	SG	_	_	_	FEM	ACC	COMP
adjective	_	SG	_	_	_	FEM	ACC	SUP
adjective	_	SG	_	_	_	FEM	ACC	_
adjective	_	SG	_	_	_	FEM	DAT	COMP
adjective	_	SG	_	_	_	FEM	DAT	SUP
adjective	_	SG	_	_	_	FEM	DAT	_
adjective	_	SG	_	_	_	FEM	GEN	COMP
adjective	_	SG	_	_	_	FEM	GEN	SUP
adjective	_	SG	_	_	_	FEM	GEN	_
adjective	_	SG	_	_	_	FEM	NOM	COMP
adjective	_	SG	_	_	_	FEM	NOM	SUP
adjective	_	SG	_	_	_	FEM	NOM	_
adjective	_	SG	_	_	_	FEM	VOC	COMP
adjective	_	SG	_	_	_	FEM	VOC	SUP
adjective	_	SG	_	_	_	FEM	VOC	_
adjective	_	SG	_	_	_	MASC	ACC	COMP
adjective	_	SG	_	_	_	MASC	ACC	SUP
adjective	_	SG	_	_	_	MASC	ACC	_
adjective	_	SG	_	_	_	MASC	DAT	COMP
adjective	_	SG	_	_	_	MASC	DAT	SUP
adjective	_	SG	_	_	_	MASC	DAT	_
adjective	_	SG	_	_	_	MASC	GEN	COMP
adjective	_	SG	_	_	_	MASC	GEN	SUP
adjective	_	SG	_	_	_	MASC	GEN	_
adjective	_	SG	_	_	_	MASC	NOM	COMP
adjective	_	SG	_	_	_	MASC	NOM	SUP
adjective	_	SG	_	_	_	MASC	NOM	_
adjective	_	SG	_	_	_	MASC	VOC	COMP
adjective	_	SG	_	_	_	MASC	VOC	SUP
adjective	_	SG	_	_	_	MASC	VOC	_
adjective	_	SG	_	_	_	NEUT	ACC	COMP
adjective	_	SG	_	_	_	NEUT	ACC	SUP
adjective	_	SG	_	_	_	NEUT	ACC	_
adjective	_	SG	_	_	_	NEUT	DAT	COMP
adjective	_	SG	_	_	_	NEUT	DAT	SUP
adjective	_	SG	_	_	_	NEUT	DAT	_
adjective	_	SG	_	_	_	NEUT	GEN	COMP
adjective	_	SG	_	_	_	NEUT	GEN	SUP
adjective	_	SG	_	_	_	NEUT	GEN	_
adjective	_	SG	_	_	_	NEUT	NOM	COMP
adjective	_	SG	_	_	_	NEUT	NOM	SUP
adjective	_	SG	_	_	_	NEUT	NOM	_
adjective	_	SG	_	_	_	NEUT	VOC	COMP
adjective	_	SG	_	_	_	NEUT	VOC	SUP
adjective	_	SG	_	_	_	NEUT	VOC	_
adjective	_	SG	_	_	_	NONE	ACC	COMP
adjective	_	SG	_	_	_	NONE	ACC	SUP
adjective	_	SG	_	_	_	NONE	ACC	_
adjective	_	SG	_	_	_	NONE	DAT	COMP
adjective	_	SG	_	_	_	NONE	DAT	SUP
adjective	_	SG	_	_	_	NONE	DAT	_
adjective	_	SG	_	_	_	NONE	GEN	COMP
adjective	_	SG	_	_	_	NONE	GEN	SUP
adjective	_	SG	_	_	_	NONE	GEN	_
adjective	_	SG	_	_	_	NONE	NOM	COMP
adjective	_	SG	_	_	_	NONE	NOM	SUP
adjective	_	SG	_	_	_	NONE	NOM	_
adjective	_	SG	_	_	_	NONE	VOC	COMP
adjective	_	SG	_	_	_	NONE	VOC	SUP
adjective	_	SG	_	_	_	NONE	VOC	_
adjective	_	PL	_	_	_	FEM	ACC	COMP
adjective	_	PL	_	_	_	FEM	ACC	SUP
adjective	_	PL	_	_	_	FEM	ACC	_
adjective	_	PL	_	_	_	FEM	DAT	COMP
adjective	_	PL	_	_	_	FEM	DAT	SUP
adjective	_	PL	_	_	_	FEM	DAT	_
adjective	_	PL	_	_	_	FEM	GEN	COMP
adjective	_	PL	_	_	_	FEM	GEN	SUP
adjective	_	PL	_	_	_	FEM	GEN	_
adjective	_	PL	_	_	_	FEM	NOM	COMP
adjective	_	PL	_	_	_	FEM	NOM	SUP
adjective	_	PL	_	_	_	FEM	NOM	_
adjective	_	PL	_	_	_	FEM	VOC	COMP
adjective	_	PL	_	_	_	FEM	VOC	SUP
adjective	_	PL	_	_	_	FEM	VOC	_
adjective	_	PL	_	_	_	MASC	ACC	COMP
adjective	_	PL	_	_	_	MASC	ACC	SUP
adjective	_	PL	_	_	_	MASC	ACC	_
adjective	_	PL	_	_	_	MASC	DAT	COMP
adjective	_	PL	_	_	_	MASC	DAT	SUP
adjective	_	PL	_	_	_	MASC	DAT	_
adjective	_	PL	_	_	_	MASC	GEN	COMP
adjective	_	PL	_	_	_	MASC	GEN	SUP
adjective	_	PL	_	_	_	MASC	GEN	_
adjective	_	PL	_	_	_	MASC	NOM	COMP
adjective	_	PL	_	_	_	MASC	NOM	SUP
adjective	_	PL	_	_	_	MASC	NOM	_
adjective	_	PL	_	_	_	MASC	VOC	COMP
adjective	_	PL	_	_	_	MASC	VOC	SUP
adjective	_	PL	_	_	_	MASC	VOC	_
adjective	_	PL	_	_	_	NEUT	ACC	COMP
adjective	_	PL	_	_	_	NEUT	ACC	SUP
adjective	_	PL	_	_	_	NEUT	ACC	_
adjective	_	PL	_	_	_	NEUT	DAT	COMP
adjective	_	PL	_	_	_	NEUT	DAT	SUP
adjective	_	PL	_	_	_	NEUT	DAT	_
adjective	_	PL	_	_	_	NEUT	GEN	COMP
adjective	_	PL	_	_	_	NEUT	GEN	SUP
adjective	_	PL	_	_	_	NEUT	GEN	_
adjective	_	PL	_	_	_	NEUT	NOM	COMP
adjective	_	PL	_	_	_	NEUT	NOM	SUP
adjective	_	PL	_	_	_	NEUT	NOM	_
adjective	_	PL	_	_	_	NEUT	VOC	COMP
adjective	_	PL	_	_	_	NEUT	VOC	SUP
adjective	_	PL	_	_	_	NEUT	VOC	_
adjective	_	PL	_	_	_	NONE	ACC	COMP
adjective	_	PL	_	_	_	NONE	ACC	SUP
adjective	_	PL	_	_	_	NONE	ACC	_
adjective	_	PL	_	_	_	NONE	DAT	COMP
adjective	_	PL	_	_	_	NONE	DAT	SUP
adjective	_	PL	_	_	_	NONE	DAT	_
adjective	_	PL	_	_	_	NONE	GEN	COMP
adjective	_	PL	_	_	_	NONE	GEN	SUP
adjective	_	PL	_	_	_	NONE	GEN	_
adjective	_	PL	_	_	_	NONE	NOM	COMP
adjective	_	PL	_	_	_	NONE	NOM	SUP
adjective	_	PL	_	_	_	NONE	NOM	_
adjective	_	PL	_	_	_	NONE	VOC	COMP
adjective	_	PL	_	_	_	NONE	VOC	SUP
adjective	_	PL	_	_	_	NONE	VOC	_
adjective	_	DUAL	_	_	_	FEM	ACC	COMP
adjective	_	DUAL	_	_	_	FEM	ACC	SUP
adjective	_	DUAL	_	_	_	FEM	ACC	_
adjective	_	DUAL	_	_	_	FEM	DAT	COMP
adjective	_	DUAL	_	_	_	FEM	DAT	SUP
adjective	_	DUAL	_	_	_	FEM	DAT	_
adjective	_	DUAL	_	_	_	FEM	GEN	COMP
adjective	_	DUAL	_	_	_	FEM	GEN	SUP
adjective	_	DUAL	_	_	_	FEM	GEN	_
adjective	_	DUAL	_	_	_	FEM	NOM	COMP
adjective	_	DUAL	_	_	_	FEM	NOM	SUP
adjective	_	DUAL	_	_	_	FEM	NOM	_
adjective	_	DUAL	_	_	_	FEM	VOC	COMP
adjective	_	DUAL	_	_	_	FEM	VOC	SUP
adjective	_	DUAL	_	_	_	FEM	VOC	_
adjective	_	DUAL	_	_	_	MASC	ACC	COMP
adjective	_	DUAL	_	_	_	MASC	ACC	SUP
adjective	_	DUAL	_	_	_	MASC	ACC	_
adjective	_	DUAL	_	_	_	MASC	DAT	COMP
adjective	_	DUAL	_	_	_	MASC	DAT	SUP
adjective	_	DUAL	_	_	_	MASC	DAT	_
adjective	_	DUAL	_	_	_	MASC	GEN	COMP
adjective	_	DUAL	_	_	_	MASC	GEN	SUP
adjective	_	DUAL	_	_	_	MASC	GEN	_
adjective	_	DUAL	_	_	_	MASC	NOM	COMP
adjective	_	DUAL	_	_	_	MASC	NOM	SUP
adjective	_	DUAL	_	_	_	MASC	NOM	_
adjective	_	DUAL	_	_	_	MASC	VOC	COMP
adjective	_	DUAL	_	_	_	MASC	VOC	SUP
adjective	_	DUAL	_	_	_	MASC	VOC	_
adjective	_	DUAL	_	_	_	NEUT	ACC	COMP
adjective	_	DUAL	_	_	_	NEUT	ACC	SUP
adjective	_	DUAL	_	_	_	NEUT	ACC	_
adjective	_	DUAL	_	_	_	NEUT	DAT	COMP
adjective	_	DUAL	_	_	_	NEUT	DAT	SUP
adjective	_	DUAL	_	_	_	NEUT	DAT	_
adjective	_	DUAL	_	_	_	NEUT	GEN	COMP
adjective	_	DUAL	_	_	_	NEUT	GEN	SUP
adjective	_	DUAL	_	_	_	NEUT	GEN	_
adjective	_	DUAL	_	_	_	NEUT	NOM	COMP
adjective	_	DUAL	_	_	_	NEUT	NOM	SUP
